Date,GLD,IEF,IWM,QQQ,SHY,SPY,TLT
2010-01-04,109.80000305175781,61.751686096191406,51.36656951904297,40.290802001953125,66.01190948486328,84.79634094238281,56.13521957397461
2010-01-05,109.69999694824219,62.02284240722656,51.189937591552734,40.290802001953125,66.09137725830078,85.02082824707031,56.49769973754883
2010-01-06,111.51000213623047,61.772579193115234,51.141780853271484,40.047767639160156,66.09933471679688,85.08067321777344,55.74140548706055
2010-01-07,110.81999969482422,61.772579193115234,51.51911163330078,40.073787689208984,66.08344268798828,85.43986511230469,55.835166931152344
2010-01-08,111.37000274658203,61.849082946777344,51.80010223388672,40.40362548828125,66.14701080322266,85.72420501708984,55.81017303466797
2010-01-11,112.8499984741211,61.89072036743164,51.59136199951172,40.23870849609375,66.1788330078125,85.84388732910156,55.50389099121094
2010-01-12,110.48999786376953,62.33573532104492,51.029354095458984,39.73529052734375,66.23441314697266,85.04329681396484,56.45396041870117
2010-01-13,111.54000091552734,62.036781311035156,51.68769454956055,40.23003005981445,66.1788330078125,85.7615966796875,55.797645568847656
2010-01-14,112.02999877929688,62.328819274902344,51.880393981933594,40.2647590637207,66.24237060546875,85.99352264404297,56.57896423339844
2010-01-15,110.86000061035156,62.60692596435547,51.125694274902344,39.79605484008789,66.29798889160156,85.02833557128906,56.92897415161133
2010-01-19,111.5199966430664,62.49561309814453,52.065032958984375,40.4383544921875,66.31392669677734,86.0907974243164,56.766456604003906
2010-01-20,108.94000244140625,62.71112823486328,51.31035614013672,39.856807708740234,66.31392669677734,85.21538543701172,57.34151840209961
2010-01-21,107.37000274658203,62.940635681152344,50.46736145019531,39.483577728271484,66.36955261230469,83.57676696777344,57.60402297973633
2010-01-22,107.16999816894531,62.99617004394531,49.56015396118164,38.32919692993164,66.42510223388672,81.71367645263672,57.504058837890625
2010-01-25,107.4800033569336,62.857208251953125,49.616336822509766,38.45940399169922,66.36955261230469,82.1326675415039,57.24148178100586
2010-01-26,107.55999755859375,62.98224639892578,49.1265754699707,38.49409484863281,66.37747955322266,81.78850555419922,57.260257720947266
2010-01-27,106.52999877929688,62.83631896972656,49.64845657348633,38.79788589477539,66.35360717773438,82.1775894165039,57.22902297973633
2010-01-28,106.4800033569336,62.8154182434082,48.797420501708984,37.799739837646484,66.38542938232422,81.23483276367188,57.197750091552734
2010-01-29,105.95999908447266,63.058753967285156,48.259517669677734,37.14009094238281,66.44895935058594,80.35191345214844,57.69782638549805
2010-02-01,108.3499984741211,62.842529296875,48.82953643798828,37.54802703857422,66.42034912109375,81.6014404296875,57.17402648925781
2010-02-02,109.12999725341797,62.94718933105469,49.36747360229492,37.88652038574219,66.42830657958984,82.58912658691406,57.33711242675781
2010-02-03,108.69999694824219,62.64725112915039,49.03827667236328,38.094852447509766,66.38056945800781,82.1775894165039,56.67219924926758
2010-02-04,104.37000274658203,63.16341781616211,47.40046691894531,36.992530822753906,66.4759750366211,79.6411361694336,57.569175720214844
2010-02-05,104.68000030517578,63.3657112121582,47.585140228271484,37.30500030517578,66.57938385009766,79.80571746826172,57.69464874267578
2010-02-08,104.04000091552734,63.30989456176758,47.1114501953125,37.03593063354492,66.5317153930664,79.22958374023438,57.7699089050293
